id,title,genres,release_year,popularity,poster_url,combined_features
8427,I Spy,Action Adventure Comedy Thriller,2002,13.267631,,"When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers. Action Adventure Comedy Thriller budapest kidnapping boxer secret agent liberation of hostage hostage-taking woman director Eddie Murphy Owen Wilson Famke Janssen Keith Dallas Malcolm McDowell Betty Thomas"
13006,Split Second,Thriller Action Horror Science Fiction Crime,1992,4.857028,,"In a futuristic London, the rising sea levels mean that large areas are under feet of water. Hauer plays a cop who previously lost his partner to some strange creature. Now the creature is back and its after him. Thriller Action Horror Science Fiction Crime flooding futuristic police detective Rutger Hauer Kim Cattrall Michael J. Pollard Alastair Duncan Alun Armstrong Tony Maylam"
18041,Gossip,Drama Mystery Thriller,2000,5.833687,,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation. Drama Mystery Thriller college suspense gossip rumor social experiment Joshua Jackson James Marsden Kate Hudson Lena Headey Norman Reedus Davis Guggenheim"
5038,Vicky Cristina Barcelona,Drama Romance,2008,32.758254,,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture. Drama Romance barcelona spain menage a trois author Scarlett Johansson Rebecca Hall Javier Bardem Penélope Cruz Christopher Evan Welch Woody Allen"
767,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,2009,98.885637,,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon David Yates"
395,AVP: Alien vs. Predator,Adventure Science Fiction Action,2004,42.957216,,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race. Adventure Science Fiction Action saving the world predator laserpointer space marine pyramid praise alien xenomorph Sanaa Lathan Raoul Bova Ewen Bremner Colin Salmon Tommy Flanagan Paul W.S. Anderson"
6521,The Contender,Drama Thriller,2000,7.029126,,"Political thriller about Laine Hanson's nomination and confirmation as Vice President. An allegation that she was involved in a sexual orgy at the age of 19 is leaked to the press. As pressure mounts on Laine, she's torn between fighting back or sticking to her principles and refusing to comment on the allegations. Drama Thriller politics suspense Gary Oldman Joan Allen Jeff Bridges Christian Slater Sam Elliott Rod Lurie"
1597,Meet the Parents,Comedy Romance,2000,29.97224,,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze. Comedy Romance cia airport cat jew orderly airplane father-in-law epistaxis daughter lost baggage urn pavilion volleyball hospital wedding Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson Jay Roach"
19255,Away We Go,Drama Comedy Romance,2009,10.13559,,"Verona and Burt have moved to Colorado to be close to Burt's parents but, with Veronica expecting their first child, Burt’s parents decide to move to Belgium, now leaving them in a place they hate and without a support structure in place. They set off on a whirlwind tour of of disparate locations where they have friends or relatives, sampling not only different cities and climates but also different families. Along the way they realize that the journey is less about discovering where they want to live and more about figuring out what type of parents they want to be. Drama Comedy Romance interracial relationship dead father reference to bob dylan biracial bedtime story unmarried couple medical illustrator disguised voice reference to huckleberry finn student protest sonogram expectant grandmother dead parents testicles John Krasinski Maya Rudolph Carmen Ejogo Catherine O'Hara Jeff Daniels Sam Mendes"
20764,Sleep Dealer,Drama Science Fiction Thriller,2008,4.624691,,"Set in a near-future, militarized world marked by closed borders, virtual labor and a global digital network that joins minds and experiences, three strangers risk their lives to connect with each other and break the barriers of technology. Drama Science Fiction Thriller virtual reality dystopia moral conflict computer loneliness water shortage teacher Leonor Varela Jacob Vargas Luis Fernando Peña Alex Rivera"
